date,location,boat_name,trip_type,num_anglers,catch,trip_num
2019-01-01,Los Angeles,Monte Carlo,1/2 Day Trip,16 Anglers,"24 Sand Bass, 85 Blacksmith, 35 Sculpin",1
2019-01-01,Los Angeles,New Del Mar,1/2 Day Trip,10 Anglers,"4 Sand Bass, 36 Sculpin, 1 Calico Bass",1
2019-01-01,Los Angeles,Spitfire,3/4 Day Trip,13 Anglers,"45 Sculpin, 11 Calico Bass",1
2019-01-01,Orange,Clemente,1/2 Day Trip,35 Anglers,"1 Sand Bass, 1 Blacksmith, 2 Sculpin",1
2019-01-01,Orange,Reel Fun,1/2 Day Trip,23 Anglers,"1 Blacksmith, 4 Sculpin, 1 Calico Bass Released",1
2019-01-01,Orange,Sum Fun,3/4 Day Trip,45 Anglers,"230 Sculpin, 4 Calico Bass Released",1
2019-01-01,San Diego,Daily Double,1/2 Day Trip,29 Anglers,"3 Barred Sand Bass, 53 Sculpin, 1 Calico Bass",1
2019-01-01,San Diego,Dolphin,1/2 Day Trip,25 Anglers,"49 Sand Bass, 15 Blacksmith Perch, 3 Halibut, 15 Sculpin, 5 Calico Bass",1
2019-01-01,San Diego,Electra,1/2 Day Trip,26 Anglers,"2 Lizardfish, 37 Sculpin, 25 Mackerel, 22 Sanddab, 31 White Croaker",1
2019-01-01,San Diego,Premier,1/2 Day Trip,45 Anglers,"1 Bonito, 287 Rockfish",1
2019-01-02,Bay Area,New Sea Angler,Full Day Trip,9 Anglers,90 Dungeness Crab,1
2019-01-02,Los Angeles,Enterprise,3/4 Day Trip,21 Anglers,"34 Sand Bass, 58 Sculpin, 15 Blue Perch, 3 Calico Bass",1
2019-01-02,Los Angeles,Monte Carlo,1/2 Day Trip,18 Anglers,"4 Sand Bass, 85 Blacksmith, 6 Sculpin",1
2019-01-02,Los Angeles,Native Sun,3/4 Day Trip,17 Anglers,"1 Sand Bass, 75 Blacksmith, 1 Halibut, 85 Sculpin, 7 Yellowtail",1
2019-01-02,Los Angeles,New Del Mar,1/2 Day Trip,53 Anglers,"31 Sand Bass, 40 Sculpin, 1 Triggerfish, 55 Blue Perch, 8 Calico Bass, 2 Rock Sole",1
2019-01-02,Los Angeles,Spitfire,3/4 Day Trip,8 Anglers,"30 Sand Bass, 2 Sculpin, 10 Calico Bass",1
2019-01-02,Los Angeles,Sport King,3/4 Day Trip,6 Anglers,"8 Sand Bass, 20 Sculpin, 1 Yellowtail, 6 Blue Perch, 11 Calico Bass",1
2019-01-02,Los Angeles,Victory,3/4 Day Trip,10 Anglers,"5 Sand Bass, 100 Blacksmith, 38 Sculpin",1
2019-01-02,Orange,Clemente,1/2 Day Trip,36 Anglers,"9 Sculpin, 25 Calico Bass Released, 20 Whitefish Released",1
2019-01-02,Orange,Sum Fun,3/4 Day Trip,35 Anglers,175 Sculpin,1
2019-01-02,San Diego,Alicia,1/2 Day Trip,7 Anglers,"16 Lobster, 89 Lobster Released",1
2019-01-02,San Diego,Chubasco II,1/2 Day Trip,22 Anglers,"1 Sand Bass, 110 Sculpin, 1 Rubberlip Seaperch",1
2019-01-02,San Diego,Daily Double,1/2 Day Trip,17 Anglers,"80 Barred Sand Bass, 5 Sculpin, 1 Bonito",1
2019-01-02,San Diego,Dolphin,1/2 Day Trip,42 Anglers,"86 Sand Bass, 3 Halibut, 34 Sculpin, 2 Triggerfish, 14 Calico Bass, 8 Halibut Released",1
2019-01-02,San Diego,Electra,1/2 Day Trip,22 Anglers,"1 Sand Bass, 12 Lizardfish, 71 Sculpin, 33 Mackerel, 75 Sculpin Released, 75 Whitefish Released",1
2019-01-02,San Diego,New Seaforth,1/2 Day Trip,20 Anglers,2 Sculpin,1
2019-01-02,San Diego,Premier,1/2 Day Trip,19 Anglers,"1 Lingcod, 189 Rockfish",1
2019-01-02,San Diego,Sea Star,3/4 Day Trip,14 Anglers,"2 Sand Bass, 4 Sculpin, 6 Sand Bass Released, 4 Sculpin Released, 13 Sheephead Released, 7 Calico Bass Released, 55 Whitefish Released",1
2019-01-03,Bay Area,New Sea Angler,Full Day Trip,15 Anglers,150 Copper Rockfish,1
2019-01-03,Los Angeles,City of Long Beach,1/2 Day Trip,15 Anglers,"18 Sand Bass, 38 Black Seaperch, 49 Sculpin, 3 Calico Bass",1
2019-01-03,Los Angeles,New Del Mar,1/2 Day Trip,32 Anglers,"42 Sand Bass, 44 Sculpin, 7 Triggerfish, 35 Blue Perch, 9 Calico Bass",1
2019-01-03,Los Angeles,Spitfire,3/4 Day Trip,10 Anglers,"42 Sand Bass, 25 Sculpin, 1 Triggerfish, 8 Calico Bass",1
2019-01-03,Los Angeles,Sport King,3/4 Day Trip,19 Anglers,"18 Sand Bass, 1 Bluefin Tuna, 90 Sculpin, 8 Blue Perch",1
2019-01-03,Los Angeles,Tradition,3/4 Day Trip,18 Anglers,1800 Sanddab,1
2019-01-03,Los Angeles,Victory,3/4 Day Trip,27 Anglers,"3 Sand Bass, 1 Bluefin Tuna, 140 Sculpin",1
2019-01-03,Orange,Clemente,1/2 Day Trip,50 Anglers,"3 Sand Bass, 7 Sculpin, 25 Sand Bass Released",1
2019-01-03,Orange,Sum Fun,3/4 Day Trip,49 Anglers,"1 Halibut, 210 Sculpin, 1 Blue Perch",1
2019-01-03,San Diego,Chubasco II,1/2 Day Trip,21 Anglers,83 Sculpin,1
2019-01-03,San Diego,Daily Double,1/2 Day Trip,13 Anglers,"10 Barred Sand Bass, 30 Sculpin, 7 Calico Bass",1
2019-01-03,San Diego,Dolphin,1/2 Day Trip,47 Anglers,"66 Sand Bass, 31 Sculpin, 4 Calico Bass",1
2019-01-03,San Diego,Electra,1/2 Day Trip,19 Anglers,"17 Lizardfish, 93 Sculpin, 15 Mackerel, 11 Sanddab, 93 Sculpin Released, 44 Whitefish Released",1
2019-01-03,San Diego,Jig Strike,1/2 Day Trip,8 Anglers,"11 Lobster, 19 Rock Crab, 71 Lobster Released",1
2019-01-03,San Diego,New Seaforth,1/2 Day Trip,12 Anglers,"29 Sand Bass, 1 Halibut",1
2019-01-03,San Diego,New Seaforth,1/2 Day Trip,14 Anglers,"17 Sand Bass, 3 Sculpin, 1 Bonito",2
2019-01-03,San Diego,Premier,1/2 Day Trip,30 Anglers,"1 Sheephead, 1 Lingcod, 2 Bonito, 296 Rockfish",1
2019-01-03,San Diego,Sea Star,1/2 Day Trip,3 Anglers,"3 Sand Bass, 3 Sculpin, 2 Calico Bass, 8 Sand Bass Released, 14 Sheephead Released, 1 Triggerfish Released, 9 Calico Bass Released, 12 Whitefish Released",1
2019-01-04,Bay Area,New Sea Angler,Full Day Trip,15 Anglers,"75 Dungeness Crab, 75 Dungeness Crab",1
2019-01-04,Los Angeles,Ahra-Ahn,3/4 Day Trip,11 Anglers,"8 Sculpin, 450 Sanddab",1
2019-01-04,Los Angeles,City of Long Beach,1/2 Day Trip,26 Anglers,"41 Sand Bass, 61 Sculpin, 60 Blue Perch, 1 Calico Bass",1
